block_id,run_id,method,valid,run_order,trace_hash,config_hash,model_hashes,policy_hash,start_utc,end_utc,duration_s,energy_j,mean_power_w,preceding_idle_power_w,tn,fp,fn,tp,f1,recall,fpr,balanced_accuracy,escalation_fraction,scheduler_latency_mean_ms,scheduler_latency_p50_ms,scheduler_latency_p95_ms,detector_latency_mean_ms,detector_latency_p95_ms,end_to_end_completion_mean_s,end_to_end_completion_p95_s,final_queue_backlog_rows,max_temperature_c,mean_temperature_c,throttle,undervoltage,missing_samples,missing_windows,failure_reason,replacement_for,unique_state_count,load_bin_occupancy,threat_bin_occupancy,model_occupancy,switch_count,tinydt_fallback_count,deadline_miss_count,deadline_miss_rate
1,r2v2-b01-p1-DQN,DQN,true,1,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,1788902344.159019,1788902844.163615,500.00273910399994,1425.7277291179537,2.8514398374553784,2.6798266602977985,311476,4274,10361,301389,0.9762962555048241,0.9667650360866079,0.013536025336500395,0.9766145053750537,,3.602403948,4.050777999999999,4.13185175,0.6328870160629921,1.3679868,0.02314060816905112,0.07273726225485007,0,34.563,31.820215999999995,false,false,0,0,,,16,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 199, ""1"": 151, ""2"": 150}","{""LightLR"": 500}",1,0,0,0.0
1,r2v2-b01-p2-ConfidenceCascade_0p3_0p7,ConfidenceCascade_0p3_0p7,true,2,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788902931.627981,1788903431.627255,499.99760716699984,1461.0486680300469,2.9221113203088884,2.675993084487783,311422,4328,1816,309934,0.9901854916519173,0.9941748195669607,0.013707046714172605,0.9902338864263941,,0.025676947999999998,0.028629,0.030334849999999997,12.478855458740158,28.850612749999943,0.17013235279887157,0.6239436176587321,0,36.511,32.627662,false,false,0,0,,,16,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 199, ""1"": 151, ""2"": 150}","{""ConfidenceCascade_0p3_0p7"": 500}",1,0,0,0.0
1,r2v2-b01-p3-Static-MedRF,Static-MedRF,true,3,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788903518.6260538,1788904018.630956,500.00338268749965,1467.3550112499659,2.934690168220437,2.6796991537558785,310973,4777,1061,310689,0.9906922017295476,0.9965966319165999,0.015129057798891529,0.9907337870588542,,0.025854236,0.028611,0.030094749999999997,19.3256912311811,29.51468215,0.26220031857216963,1.0121379621443338,0,36.511,32.928627999999996,false,false,0,0,,,16,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 198, ""1"": 152, ""2"": 150}","{""MedRF"": 500}",1,0,59,0.118
1,r2v2-b01-p4-Tabular-Q,Tabular-Q,true,4,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,1788904105.814409,1788904605.818675,500.00259122950047,1418.734915757098,2.8374551265193357,2.7017998699868713,101683,214067,748,311002,0.7432957425679867,0.9976006415396953,0.6779635787806809,0.6598185313795072,,0.12940774,0.12297949999999999,0.19138875,0.5081740181102362,1.1311303499999998,0.01762830373471661,0.06318228460331726,0,34.563,32.05495,false,false,0,0,,,11,"{""0"": 150, ""1"": 200, ""2"": 150}","{""1"": 233, ""2"": 267}","{""TinyDT"": 500}",0,500,0,0.0
1,r2v2-b01-p5-DeadlineGuard,DeadlineGuard,true,5,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788904692.752682,1788905192.752769,499.9992586039998,1429.9071624081432,2.8598185653323775,2.702805454256633,311452,4298,9998,301752,0.9768598251861443,0.9679294306335204,0.013612034837688044,0.9771586978979162,,0.031966088000000004,0.035962,0.0381299,2.279064213543307,29.21482349999999,0.04002188688044407,0.06994808597410154,0,34.563,31.910798000000003,false,false,0,0,,,16,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 198, ""1"": 152, ""2"": 150}","{""LightLR"": 150, ""MedRF"": 350}",5,0,0,0.0
1,r2v2-b01-p6-Static-LightLR,Static-LightLR,true,6,5a293d132b9f5adfb2614f64eede19e66767e7f01c8e6b2deff5197dd71f1c84,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788905279.6192331,1788905779.617576,499.9986766875004,1416.0899826055088,2.832187460949154,2.6766679029739873,311476,4274,10361,301389,0.9762962555048241,0.9667650360866079,0.013536025336500395,0.9766145053750537,,0.025659269999999998,0.028388,0.03066605,0.6201178300787401,1.3189280999999997,0.018798938642830762,0.0671015400057513,0,34.563,31.992614,false,false,0,0,,,16,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 199, ""1"": 151, ""2"": 150}","{""LightLR"": 500}",1,0,0,0.0
2,r2v2-b02-p1-DeadlineGuard,DeadlineGuard,true,1,597e393972ba313bc8fed47874a33dddf26805f3ede43ee4c414cebf8f329a57,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788905866.460474,1788906366.450621,499.9900569999995,1423.4574372989555,2.846971489472953,2.678109825335993,311505,4245,9981,301769,0.9769717885794575,0.9679839615076182,0.013444180522565321,0.9772698904925264,,0.03164374599999999,0.035425,0.03761,2.309990955590551,29.252483699999978,0.040316504941365565,0.0691563190328452,0,34.563,32.45429,false,false,0,0,,,15,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 198, ""1"": 152, ""2"": 150}","{""LightLR"": 150, ""MedRF"": 350}",5,0,0,0.0
2,r2v2-b02-p2-DQN,DQN,true,2,597e393972ba313bc8fed47874a33dddf26805f3ede43ee4c414cebf8f329a57,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,1788906453.388024,1788906953.374478,499.99295689550036,1423.3868910169374,2.8468138828492107,2.696099469443712,311522,4228,10335,301415,0.9764121070371709,0.9668484362469928,0.013390340459224069,0.9767290478938844,,3.484123576,4.0356974999999995,4.11098755,0.6378510048818897,1.37570295,0.02316680388734676,0.07273378297213635,0,35.05,32.446498,false,false,0,0,,,15,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 199, ""1"": 151, ""2"": 150}","{""LightLR"": 500}",1,0,0,0.0
2,r2v2-b02-p3-Static-MedRF,Static-MedRF,true,3,597e393972ba313bc8fed47874a33dddf26805f3ede43ee4c414cebf8f329a57,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788907040.591858,1788907540.581444,499.9957395834999,1472.3269945696113,2.9446790802579046,2.675164079574338,311009,4741,1157,310593,0.9905945614941538,0.9962886928628709,0.015015043547110056,0.9906368246578805,,0.025845562000000002,0.028796,0.03014705,18.165323202362202,29.475979349999992,0.24606705349804542,1.0101104706835031,0,36.998,33.337708,false,false,0,0,,,14,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 197, ""1"": 152, ""2"": 151}","{""MedRF"": 500}",1,0,41,0.082
2,r2v2-b02-p4-Static-LightLR,Static-LightLR,true,4,597e393972ba313bc8fed47874a33dddf26805f3ede43ee4c414cebf8f329a57,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788907627.523308,1788908127.595922,500.00653133299966,1418.7824396283306,2.8375278135785686,2.6964480096099295,311522,4228,10335,301415,0.9764121070371709,0.9668484362469928,0.013390340459224069,0.9767290478938844,,0.025801886,0.028453,0.0310929,0.6306696908661417,1.4024755499999995,0.018919081982719944,0.06910518515396685,0,35.05,32.466952,false,false,0,0,,,15,"{""0"": 150, ""1"": 200, ""2"": 150}","{""0"": 199, ""1"": 151, ""2"": 150}","{""LightLR"": 500}",1,0,0,0.0
